#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
1,Bulbasaur,Grass Poison,318,45,49,49,65,65,45,Grass,Poison
2,Ivysaur,Grass Poison,405,60,62,63,80,80,60,Grass,Poison
3,Venusaur,Grass Poison,525,80,82,83,100,100,80,Grass,Poison
3,Venusaur Mega Venusaur,Grass Poison,625,80,100,123,122,120,80,Grass,Poison
4,Charmander,Fire,309,39,52,43,60,50,65,Fire,
5,Charmeleon,Fire,405,58,64,58,80,65,80,Fire,
6,Charizard,Fire Flying,534,78,84,78,109,85,100,Fire,Flying
6,Charizard Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100,Fire,Dragon
6,Charizard Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100,Fire,Flying
7,Squirtle,Water,314,44,48,65,50,64,43,Water,
8,Wartortle,Water,405,59,63,80,65,80,58,Water,
9,Blastoise,Water,530,79,83,100,85,105,78,Water,
9,Blastoise Mega Blastoise,Water,630,79,103,120,135,115,78,Water,
10,Caterpie,Bug,195,45,30,35,20,20,45,Bug,
11,Metapod,Bug,205,50,20,55,25,25,30,Bug,
12,Butterfree,Bug Flying,395,60,45,50,90,80,70,Bug,Flying
13,Weedle,Bug Poison,195,40,35,30,20,20,50,Bug,Poison
14,Kakuna,Bug Poison,205,45,25,50,25,25,35,Bug,Poison
15,Beedrill,Bug Poison,395,65,90,40,45,80,75,Bug,Poison
15,Beedrill Mega Beedrill,Bug Poison,495,65,150,40,15,80,145,Bug,Poison
16,Pidgey,Normal Flying,251,40,45,40,35,35,56,Normal,Flying
17,Pidgeotto,Normal Flying,349,63,60,55,50,50,71,Normal,Flying
18,Pidgeot,Normal Flying,479,83,80,75,70,70,101,Normal,Flying
18,Pidgeot Mega Pidgeot,Normal Flying,579,83,80,80,135,80,121,Normal,Flying
19,Rattata,Normal,253,30,56,35,25,35,72,Normal,
19,Rattata Alolan Rattata,Dark Normal,253,30,56,35,25,35,72,Dark,Normal
20,Raticate,Normal,413,55,81,60,50,70,97,Normal,
20,Raticate Alolan Raticate,Dark Normal,413,75,71,70,40,80,77,Dark,Normal
21,Spearow,Normal Flying,262,40,60,30,31,31,70,Normal,Flying
22,Fearow,Normal Flying,442,65,90,65,61,61,100,Normal,Flying
23,Ekans,Poison,288,35,60,44,40,54,55,Poison,
24,Arbok,Poison,448,60,95,69,65,79,80,Poison,
25,Pikachu,Electric,320,35,55,40,50,50,90,Electric,
25,Pikachu Partner Pikachu,Electric,430,45,80,50,75,60,120,Electric,
26,Raichu,Electric,485,60,90,55,90,80,110,Electric,
26,Raichu Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110,Electric,Psychic
27,Sandshrew,Ground,300,50,75,85,20,30,40,Ground,
27,Sandshrew Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40,Ice,Steel
28,Sandslash,Ground,450,75,100,110,45,55,65,Ground,
28,Sandslash Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65,Ice,Steel
29,Nidoran♀,Poison,275,55,47,52,40,40,41,Poison,
30,Nidorina,Poison,365,70,62,67,55,55,56,Poison,
31,Nidoqueen,Poison Ground,505,90,92,87,75,85,76,Poison,Ground
32,Nidoran♂,Poison,273,46,57,40,40,40,50,Poison,
33,Nidorino,Poison,365,61,72,57,55,55,65,Poison,
34,Nidoking,Poison Ground,505,81,102,77,85,75,85,Poison,Ground
35,Clefairy,Fairy,323,70,45,48,60,65,35,Fairy,
36,Clefable,Fairy,483,95,70,73,95,90,60,Fairy,
37,Vulpix,Fire,299,38,41,40,50,65,65,Fire,
37,Vulpix Alolan Vulpix,Ice,299,38,41,40,50,65,65,Ice,
38,Ninetales,Fire,505,73,76,75,81,100,100,Fire,
38,Ninetales Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109,Ice,Fairy
39,Jigglypuff,Normal Fairy,270,115,45,20,45,25,20,Normal,Fairy
40,Wigglytuff,Normal Fairy,435,140,70,45,85,50,45,Normal,Fairy
41,Zubat,Poison Flying,245,40,45,35,30,40,55,Poison,Flying
42,Golbat,Poison Flying,455,75,80,70,65,75,90,Poison,Flying
43,Oddish,Grass Poison,320,45,50,55,75,65,30,Grass,Poison
44,Gloom,Grass Poison,395,60,65,70,85,75,40,Grass,Poison
45,Vileplume,Grass Poison,490,75,80,85,110,90,50,Grass,Poison
46,Paras,Bug Grass,285,35,70,55,45,55,25,Bug,Grass
47,Parasect,Bug Grass,405,60,95,80,60,80,30,Bug,Grass
48,Venonat,Bug Poison,305,60,55,50,40,55,45,Bug,Poison
49,Venomoth,Bug Poison,450,70,65,60,90,75,90,Bug,Poison
50,Diglett,Ground,265,10,55,25,35,45,95,Ground,
50,Diglett Alolan Diglett,Ground Steel,265,10,55,30,35,45,90,Ground,Steel
51,Dugtrio,Ground,425,35,100,50,50,70,120,Ground,
51,Dugtrio Alolan Dugtrio,Ground Steel,425,35,100,60,50,70,110,Ground,Steel
52,Meowth,Normal,290,40,45,35,40,40,90,Normal,
52,Meowth Alolan Meowth,Dark,290,40,35,35,50,40,90,Dark,
52,Meowth Galarian Meowth,Steel,290,50,65,55,40,40,40,Steel,
53,Persian,Normal,440,65,70,60,65,65,115,Normal,
53,Persian Alolan Persian,Dark,440,65,60,60,75,65,115,Dark,
54,Psyduck,Water,320,50,52,48,65,50,55,Water,
55,Golduck,Water,500,80,82,78,95,80,85,Water,
56,Mankey,Fighting,305,40,80,35,35,45,70,Fighting,
57,Primeape,Fighting,455,65,105,60,60,70,95,Fighting,
58,Growlithe,Fire,350,55,70,45,70,50,60,Fire,
58,Growlithe Hisuian Growlithe,Fire Rock,350,60,75,45,65,50,55,Fire,Rock
59,Arcanine,Fire,555,90,110,80,100,80,95,Fire,
59,Arcanine Hisuian Arcanine,Fire Rock,555,95,115,80,95,80,90,Fire,Rock
60,Poliwag,Water,300,40,50,40,40,40,90,Water,
61,Poliwhirl,Water,385,65,65,65,50,50,90,Water,
62,Poliwrath,Water Fighting,510,90,95,95,70,90,70,Water,Fighting
63,Abra,Psychic,310,25,20,15,105,55,90,Psychic,
64,Kadabra,Psychic,400,40,35,30,120,70,105,Psychic,
65,Alakazam,Psychic,500,55,50,45,135,95,120,Psychic,
65,Alakazam Mega Alakazam,Psychic,600,55,50,65,175,105,150,Psychic,
66,Machop,Fighting,305,70,80,50,35,35,35,Fighting,
67,Machoke,Fighting,405,80,100,70,50,60,45,Fighting,
68,Machamp,Fighting,505,90,130,80,65,85,55,Fighting,
69,Bellsprout,Grass Poison,300,50,75,35,70,30,40,Grass,Poison
70,Weepinbell,Grass Poison,390,65,90,50,85,45,55,Grass,Poison
71,Victreebel,Grass Poison,490,80,105,65,100,70,70,Grass,Poison
72,Tentacool,Water Poison,335,40,40,35,50,100,70,Water,Poison
73,Tentacruel,Water Poison,515,80,70,65,80,120,100,Water,Poison
74,Geodude,Rock Ground,300,40,80,100,30,30,20,Rock,Ground
74,Geodude Alolan Geodude,Rock Electric,300,40,80,100,30,30,20,Rock,Electric
75,Graveler,Rock Ground,390,55,95,115,45,45,35,Rock,Ground
75,Graveler Alolan Graveler,Rock Electric,390,55,95,115,45,45,35,Rock,Electric
76,Golem,Rock Ground,495,80,120,130,55,65,45,Rock,Ground
76,Golem Alolan Golem,Rock Electric,495,80,120,130,55,65,45,Rock,Electric
77,Ponyta,Fire,410,50,85,55,65,65,90,Fire,
77,Ponyta Galarian Ponyta,Psychic,410,50,85,55,65,65,90,Psychic,
78,Rapidash,Fire,500,65,100,70,80,80,105,Fire,
78,Rapidash Galarian Rapidash,Psychic Fairy,500,65,100,70,80,80,105,Psychic,Fairy
79,Slowpoke,Water Psychic,315,90,65,65,40,40,15,Water,Psychic
79,Slowpoke Galarian Slowpoke,Psychic,315,90,65,65,40,40,15,Psychic,
80,Slowbro,Water Psychic,490,95,75,110,100,80,30,Water,Psychic
80,Slowbro Mega Slowbro,Water Psychic,590,95,75,180,130,80,30,Water,Psychic
80,Slowbro Galarian Slowbro,Poison Psychic,490,95,100,95,100,70,30,Poison,Psychic
81,Magnemite,Electric Steel,325,25,35,70,95,55,45,Electric,Steel
82,Magneton,Electric Steel,465,50,60,95,120,70,70,Electric,Steel
83,Farfetch'd,Normal Flying,377,52,90,55,58,62,60,Normal,Flying
83,Farfetch'd Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55,Fighting,
84,Doduo,Normal Flying,310,35,85,45,35,35,75,Normal,Flying
85,Dodrio,Normal Flying,470,60,110,70,60,60,110,Normal,Flying
86,Seel,Water,325,65,45,55,45,70,45,Water,
87,Dewgong,Water Ice,475,90,70,80,70,95,70,Water,Ice
88,Grimer,Poison,325,80,80,50,40,50,25,Poison,
88,Grimer Alolan Grimer,Poison Dark,325,80,80,50,40,50,25,Poison,Dark
89,Muk,Poison,500,105,105,75,65,100,50,Poison,
89,Muk Alolan Muk,Poison Dark,500,105,105,75,65,100,50,Poison,Dark
90,Shellder,Water,305,30,65,100,45,25,40,Water,
91,Cloyster,Water Ice,525,50,95,180,85,45,70,Water,Ice
92,Gastly,Ghost Poison,310,30,35,30,100,35,80,Ghost,Poison
93,Haunter,Ghost Poison,405,45,50,45,115,55,95,Ghost,Poison
94,Gengar,Ghost Poison,500,60,65,60,130,75,110,Ghost,Poison
94,Gengar Mega Gengar,Ghost Poison,600,60,65,80,170,95,130,Ghost,Poison
95,Onix,Rock Ground,385,35,45,160,30,45,70,Rock,Ground
96,Drowzee,Psychic,328,60,48,45,43,90,42,Psychic,
97,Hypno,Psychic,483,85,73,70,73,115,67,Psychic,
98,Krabby,Water,325,30,105,90,25,25,50,Water,
99,Kingler,Water,475,55,130,115,50,50,75,Water,
100,Voltorb,Electric,330,40,30,50,55,55,100,Electric,
100,Voltorb Hisuian Voltorb,Electric Grass,330,40,30,50,55,55,100,Electric,Grass
101,Electrode,Electric,490,60,50,70,80,80,150,Electric,
101,Electrode Hisuian Electrode,Electric Grass,490,60,50,70,80,80,150,Electric,Grass
102,Exeggcute,Grass Psychic,325,60,40,80,60,45,40,Grass,Psychic
103,Exeggutor,Grass Psychic,530,95,95,85,125,75,55,Grass,Psychic
103,Exeggutor Alolan Exeggutor,Grass Dragon,530,95,105,85,125,75,45,Grass,Dragon
104,Cubone,Ground,320,50,50,95,40,50,35,Ground,
105,Marowak,Ground,425,60,80,110,50,80,45,Ground,
105,Marowak Alolan Marowak,Fire Ghost,425,60,80,110,50,80,45,Fire,Ghost
106,Hitmonlee,Fighting,455,50,120,53,35,110,87,Fighting,
107,Hitmonchan,Fighting,455,50,105,79,35,110,76,Fighting,
108,Lickitung,Normal,385,90,55,75,60,75,30,Normal,
109,Koffing,Poison,340,40,65,95,60,45,35,Poison,
110,Weezing,Poison,490,65,90,120,85,70,60,Poison,
110,Weezing Galarian Weezing,Poison Fairy,490,65,90,120,85,70,60,Poison,Fairy
111,Rhyhorn,Ground Rock,345,80,85,95,30,30,25,Ground,Rock
112,Rhydon,Ground Rock,485,105,130,120,45,45,40,Ground,Rock
113,Chansey,Normal,450,250,5,5,35,105,50,Normal,
114,Tangela,Grass,435,65,55,115,100,40,60,Grass,
115,Kangaskhan,Normal,490,105,95,80,40,80,90,Normal,
115,Kangaskhan Mega Kangaskhan,Normal,590,105,125,100,60,100,100,Normal,
116,Horsea,Water,295,30,40,70,70,25,60,Water,
117,Seadra,Water,440,55,65,95,95,45,85,Water,
118,Goldeen,Water,320,45,67,60,35,50,63,Water,
119,Seaking,Water,450,80,92,65,65,80,68,Water,
120,Staryu,Water,340,30,45,55,70,55,85,Water,
121,Starmie,Water Psychic,520,60,75,85,100,85,115,Water,Psychic
122,Mr. Mime,Psychic Fairy,460,40,45,65,100,120,90,Psychic,Fairy
122,Mr. Mime Galarian Mr. Mime,Ice Psychic,460,50,65,65,90,90,100,Ice,Psychic
123,Scyther,Bug Flying,500,70,110,80,55,80,105,Bug,Flying
124,Jynx,Ice Psychic,455,65,50,35,115,95,95,Ice,Psychic
125,Electabuzz,Electric,490,65,83,57,95,85,105,Electric,
126,Magmar,Fire,495,65,95,57,100,85,93,Fire,
127,Pinsir,Bug,500,65,125,100,55,70,85,Bug,
127,Pinsir Mega Pinsir,Bug Flying,600,65,155,120,65,90,105,Bug,Flying
128,Tauros,Normal,490,75,100,95,40,70,110,Normal,
128,Tauros Combat Breed,Fighting,490,75,110,105,30,70,100,Fighting,
128,Tauros Blaze Breed,Fighting Fire,490,75,110,105,30,70,100,Fighting,Fire
128,Tauros Aqua Breed,Fighting Water,490,75,110,105,30,70,100,Fighting,Water
129,Magikarp,Water,200,20,10,55,15,20,80,Water,
130,Gyarados,Water Flying,540,95,125,79,60,100,81,Water,Flying
130,Gyarados Mega Gyarados,Water Dark,640,95,155,109,70,130,81,Water,Dark
131,Lapras,Water Ice,535,130,85,80,85,95,60,Water,Ice
132,Ditto,Normal,288,48,48,48,48,48,48,Normal,
133,Eevee,Normal,325,55,55,50,45,65,55,Normal,
133,Eevee Partner Eevee,Normal,435,65,75,70,65,85,75,Normal,
134,Vaporeon,Water,525,130,65,60,110,95,65,Water,
135,Jolteon,Electric,525,65,65,60,110,95,130,Electric,
136,Flareon,Fire,525,65,130,60,95,110,65,Fire,
137,Porygon,Normal,395,65,60,70,85,75,40,Normal,
138,Omanyte,Rock Water,355,35,40,100,90,55,35,Rock,Water
139,Omastar,Rock Water,495,70,60,125,115,70,55,Rock,Water
140,Kabuto,Rock Water,355,30,80,90,55,45,55,Rock,Water
141,Kabutops,Rock Water,495,60,115,105,65,70,80,Rock,Water
142,Aerodactyl,Rock Flying,515,80,105,65,60,75,130,Rock,Flying
142,Aerodactyl Mega Aerodactyl,Rock Flying,615,80,135,85,70,95,150,Rock,Flying
143,Snorlax,Normal,540,160,110,65,65,110,30,Normal,
144,Articuno,Ice Flying,580,90,85,100,95,125,85,Ice,Flying
144,Articuno Galarian Articuno,Psychic Flying,580,90,85,85,125,100,95,Psychic,Flying
145,Zapdos,Electric Flying,580,90,90,85,125,90,100,Electric,Flying
145,Zapdos Galarian Zapdos,Fighting Flying,580,90,125,90,85,90,100,Fighting,Flying
146,Moltres,Fire Flying,580,90,100,90,125,85,90,Fire,Flying
146,Moltres Galarian Moltres,Dark Flying,580,90,85,90,100,125,90,Dark,Flying
147,Dratini,Dragon,300,41,64,45,50,50,50,Dragon,
148,Dragonair,Dragon,420,61,84,65,70,70,70,Dragon,
149,Dragonite,Dragon Flying,600,91,134,95,100,100,80,Dragon,Flying
150,Mewtwo,Psychic,680,106,110,90,154,90,130,Psychic,
150,Mewtwo Mega Mewtwo X,Psychic Fighting,780,106,190,100,154,100,130,Psychic,Fighting
150,Mewtwo Mega Mewtwo Y,Psychic,780,106,150,70,194,120,140,Psychic,
151,Mew,Psychic,600,100,100,100,100,100,100,Psychic,
152,Chikorita,Grass,318,45,49,65,49,65,45,Grass,
153,Bayleef,Grass,405,60,62,80,63,80,60,Grass,
154,Meganium,Grass,525,80,82,100,83,100,80,Grass,
155,Cyndaquil,Fire,309,39,52,43,60,50,65,Fire,
156,Quilava,Fire,405,58,64,58,80,65,80,Fire,
157,Typhlosion,Fire,534,78,84,78,109,85,100,Fire,
157,Typhlosion Hisuian Typhlosion,Fire Ghost,534,73,84,78,119,85,95,Fire,Ghost
158,Totodile,Water,314,50,65,64,44,48,43,Water,
159,Croconaw,Water,405,65,80,80,59,63,58,Water,
160,Feraligatr,Water,530,85,105,100,79,83,78,Water,
161,Sentret,Normal,215,35,46,34,35,45,20,Normal,
162,Furret,Normal,415,85,76,64,45,55,90,Normal,
163,Hoothoot,Normal Flying,262,60,30,30,36,56,50,Normal,Flying
164,Noctowl,Normal Flying,452,100,50,50,86,96,70,Normal,Flying
165,Ledyba,Bug Flying,265,40,20,30,40,80,55,Bug,Flying
166,Ledian,Bug Flying,390,55,35,50,55,110,85,Bug,Flying
167,Spinarak,Bug Poison,250,40,60,40,40,40,30,Bug,Poison
168,Ariados,Bug Poison,400,70,90,70,60,70,40,Bug,Poison
169,Crobat,Poison Flying,535,85,90,80,70,80,130,Poison,Flying
170,Chinchou,Water Electric,330,75,38,38,56,56,67,Water,Electric
171,Lanturn,Water Electric,460,125,58,58,76,76,67,Water,Electric
172,Pichu,Electric,205,20,40,15,35,35,60,Electric,
173,Cleffa,Fairy,218,50,25,28,45,55,15,Fairy,
174,Igglybuff,Normal Fairy,210,90,30,15,40,20,15,Normal,Fairy
175,Togepi,Fairy,245,35,20,65,40,65,20,Fairy,
176,Togetic,Fairy Flying,405,55,40,85,80,105,40,Fairy,Flying
177,Natu,Psychic Flying,320,40,50,45,70,45,70,Psychic,Flying
178,Xatu,Psychic Flying,470,65,75,70,95,70,95,Psychic,Flying
179,Mareep,Electric,280,55,40,40,65,45,35,Electric,
180,Flaaffy,Electric,365,70,55,55,80,60,45,Electric,
181,Ampharos,Electric,510,90,75,85,115,90,55,Electric,
181,Ampharos Mega Ampharos,Electric Dragon,610,90,95,105,165,110,45,Electric,Dragon
182,Bellossom,Grass,490,75,80,95,90,100,50,Grass,
183,Marill,Water Fairy,250,70,20,50,20,50,40,Water,Fairy
184,Azumarill,Water Fairy,420,100,50,80,60,80,50,Water,Fairy
185,Sudowoodo,Rock,410,70,100,115,30,65,30,Rock,
186,Politoed,Water,500,90,75,75,90,100,70,Water,
187,Hoppip,Grass Flying,250,35,35,40,35,55,50,Grass,Flying
188,Skiploom,Grass Flying,340,55,45,50,45,65,80,Grass,Flying
189,Jumpluff,Grass Flying,460,75,55,70,55,95,110,Grass,Flying
190,Aipom,Normal,360,55,70,55,40,55,85,Normal,
191,Sunkern,Grass,180,30,30,30,30,30,30,Grass,
192,Sunflora,Grass,425,75,75,55,105,85,30,Grass,
193,Yanma,Bug Flying,390,65,65,45,75,45,95,Bug,Flying
194,Wooper,Water Ground,210,55,45,45,25,25,15,Water,Ground
194,Wooper Paldean Wooper,Poison Ground,210,55,45,45,25,25,15,Poison,Ground
195,Quagsire,Water Ground,430,95,85,85,65,65,35,Water,Ground
196,Espeon,Psychic,525,65,65,60,130,95,110,Psychic,
197,Umbreon,Dark,525,95,65,110,60,130,65,Dark,
198,Murkrow,Dark Flying,405,60,85,42,85,42,91,Dark,Flying
199,Slowking,Water Psychic,490,95,75,80,100,110,30,Water,Psychic
199,Slowking Galarian Slowking,Poison Psychic,490,95,65,80,110,110,30,Poison,Psychic
200,Misdreavus,Ghost,435,60,60,60,85,85,85,Ghost,
201,Unown,Psychic,336,48,72,48,72,48,48,Psychic,
202,Wobbuffet,Psychic,405,190,33,58,33,58,33,Psychic,
203,Girafarig,Normal Psychic,455,70,80,65,90,65,85,Normal,Psychic
204,Pineco,Bug,290,50,65,90,35,35,15,Bug,
205,Forretress,Bug Steel,465,75,90,140,60,60,40,Bug,Steel
206,Dunsparce,Normal,415,100,70,70,65,65,45,Normal,
207,Gligar,Ground Flying,430,65,75,105,35,65,85,Ground,Flying
208,Steelix,Steel Ground,510,75,85,200,55,65,30,Steel,Ground
208,Steelix Mega Steelix,Steel Ground,610,75,125,230,55,95,30,Steel,Ground
209,Snubbull,Fairy,300,60,80,50,40,40,30,Fairy,
210,Granbull,Fairy,450,90,120,75,60,60,45,Fairy,
211,Qwilfish,Water Poison,440,65,95,85,55,55,85,Water,Poison
211,Qwilfish Hisuian Qwilfish,Dark Poison,440,65,95,85,55,55,85,Dark,Poison
212,Scizor,Bug Steel,500,70,130,100,55,80,65,Bug,Steel
212,Scizor Mega Scizor,Bug Steel,600,70,150,140,65,100,75,Bug,Steel
213,Shuckle,Bug Rock,505,20,10,230,10,230,5,Bug,Rock
214,Heracross,Bug Fighting,500,80,125,75,40,95,85,Bug,Fighting
214,Heracross Mega Heracross,Bug Fighting,600,80,185,115,40,105,75,Bug,Fighting
215,Sneasel,Dark Ice,430,55,95,55,35,75,115,Dark,Ice
215,Sneasel Hisuian Sneasel,Fighting Poison,430,55,95,55,35,75,115,Fighting,Poison
216,Teddiursa,Normal,330,60,80,50,50,50,40,Normal,
217,Ursaring,Normal,500,90,130,75,75,75,55,Normal,
218,Slugma,Fire,250,40,40,40,70,40,20,Fire,
219,Magcargo,Fire Rock,430,60,50,120,90,80,30,Fire,Rock
220,Swinub,Ice Ground,250,50,50,40,30,30,50,Ice,Ground
221,Piloswine,Ice Ground,450,100,100,80,60,60,50,Ice,Ground
222,Corsola,Water Rock,410,65,55,95,65,95,35,Water,Rock
222,Corsola Galarian Corsola,Ghost,410,60,55,100,65,100,30,Ghost,
223,Remoraid,Water,300,35,65,35,65,35,65,Water,
224,Octillery,Water,480,75,105,75,105,75,45,Water,
225,Delibird,Ice Flying,330,45,55,45,65,45,75,Ice,Flying
226,Mantine,Water Flying,485,85,40,70,80,140,70,Water,Flying
227,Skarmory,Steel Flying,465,65,80,140,40,70,70,Steel,Flying
228,Houndour,Dark Fire,330,45,60,30,80,50,65,Dark,Fire
229,Houndoom,Dark Fire,500,75,90,50,110,80,95,Dark,Fire
229,Houndoom Mega Houndoom,Dark Fire,600,75,90,90,140,90,115,Dark,Fire
230,Kingdra,Water Dragon,540,75,95,95,95,95,85,Water,Dragon
231,Phanpy,Ground,330,90,60,60,40,40,40,Ground,
232,Donphan,Ground,500,90,120,120,60,60,50,Ground,
233,Porygon2,Normal,515,85,80,90,105,95,60,Normal,
234,Stantler,Normal,465,73,95,62,85,65,85,Normal,
235,Smeargle,Normal,250,55,20,35,20,45,75,Normal,
236,Tyrogue,Fighting,210,35,35,35,35,35,35,Fighting,
237,Hitmontop,Fighting,455,50,95,95,35,110,70,Fighting,
238,Smoochum,Ice Psychic,305,45,30,15,85,65,65,Ice,Psychic
239,Elekid,Electric,360,45,63,37,65,55,95,Electric,
240,Magby,Fire,365,45,75,37,70,55,83,Fire,
241,Miltank,Normal,490,95,80,105,40,70,100,Normal,
